date_text,date,week ending friday,week ending thursday,week ending wednesday,week ending tuesday,week ending monday,week ending sunday,week ending saturday
"Monday, 27 July 2020",2020-07-27,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-08-02,2020-08-01
"Tuesday, 28 July 2020",2020-07-28,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-08-03,2020-08-02,2020-08-01
"Wednesday, 29 July 2020",2020-07-29,2020-07-31,2020-07-30,2020-07-29,2020-08-04,2020-08-03,2020-08-02,2020-08-01
"Thursday, 30 July 2020",2020-07-30,2020-07-31,2020-07-30,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-01
"Friday, 31 July 2020",2020-07-31,2020-07-31,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-01
"Saturday, 1 August 2020",2020-08-01,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-01
"Sunday, 2 August 2020",2020-08-02,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-08
"Monday, 3 August 2020",2020-08-03,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-09,2020-08-08
"Tuesday, 4 August 2020",2020-08-04,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-10,2020-08-09,2020-08-08
"Wednesday, 5 August 2020",2020-08-05,2020-08-07,2020-08-06,2020-08-05,2020-08-11,2020-08-10,2020-08-09,2020-08-08
"Thursday, 6 August 2020",2020-08-06,2020-08-07,2020-08-06,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-08
"Friday, 7 August 2020",2020-08-07,2020-08-07,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-08
"Saturday, 8 August 2020",2020-08-08,2020-08-14,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-08
"Sunday, 9 August 2020",2020-08-09,2020-08-14,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-15
"Monday, 10 August 2020",2020-08-10,2020-08-14,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-16,2020-08-15
