marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
E14000831,414,Newcastle upon Tyne Central,"55,368","37,015",66.9%,"37,094",67.0%,"37,867",68.4%,0,19,0,59,1,79,"21,720",78,0,"21,798",0,"18,267",50,3,75,0,0,0,"3,403","21,798","18,267",234,539,"17,494",773,82,8,69,41,68,105,326,133,80,0,1,40,"1,823",5,12,18/05/17,22/05/17,83,22:00:00,22:10:00,22:10:00,22:53:00,No,0,0,0
E14000832,415,Newcastle upon Tyne East,"61,989","41,553",67.0%,"41,637",67.2%,"42,138",68.0%,0,11,0,70,3,84,"20,116",71,0,"20,187",0,"16,745",54,2,69,0,0,0,"3,317","20,187","16,745",171,330,"16,244",501,112,11,36,42,63,66,173,92,65,2,6,41,"1,876",6,14,18/05/17,22/05/17,91,22:00:00,22:50:00,22:50:00,23:47:00,No,0,0,0
E14000833,416,Newcastle upon Tyne North,"66,073","48,205",73.0%,"48,288",73.1%,"49,050",74.2%,0,14,0,65,4,83,"29,250",58,0,"29,308",0,"25,142",53,1,57,0,0,0,"4,055","29,308","25,142",196,566,"24,380",762,97,10,49,38,48,115,324,173,69,2,1,47,"2,020",3,8,18/05/17,22/05/17,"2,020",23:22:00,23:38:00,23:38:00,00:08:00,No,0,0,0
E14000834,413,Newcastle-under-Lyme,"65,598","43,842",66.8%,"44,014",67.1%,"44,415",67.7%,0,60,2,110,0,172,"10,273",90,0,"10,363",0,"8,547",32,0,90,0,0,77,"1,617","10,363","8,547",21,81,"8,146",352,243,7,210,8,10,3,18,44,19,130,120,62,443,20,76,24/05/17,24/05/17,31,22:00:00,01:30:00,01:30:00,06:00:00,No,2,0,0
W07000055,417,Newport East,"57,211","36,820",64.4%,"36,888",64.5%,"37,150",64.9%,0,19,15,34,0,68,"9,245",46,38,"9,329",20,"7,866",19,2,24,0,0,30,"1,374","9,315","7,866",26,80,"7,604",262,121,2,45,15,9,2,14,37,29,0,0,52,646,0, ,19/05/17,19/05/17,9,22:00:00,23:50:00,00:05:00,22:10:00,No,0,0,0
W07000056,418,Newport West,"64,382","43,433",67.5%,"43,513",67.6%,"43,792",68.0%,0,29,4,47,0,80,"11,973",62,58,"12,093",25,"10,258",38,0,37,0,0,40,"1,342","11,715","10,258",46,89,"9,979",279,236,2,55,19,22,5,23,32,34,0,0,55,646,0, ,19/05/17,19/05/17,30,22:00:00,23:59:00,00:10:00,02:15:00,No,0,0,0
N06000011,419,Newry and Armagh,"78,266","53,579",68.5%,"53,908",68.9%,"53,958",68.9%,0,183,122,16,0,321,"1,375",0,0,"1,375",0,"1,183",8,0,0,0,0,3,181,"1,375",,,,"1,125",58,"1,304",,,,,,,,,,,85,,,68, , ,0,23:22:00,01:40:00,00:06:00,03:00:00, ,0,0,0
E14000835,420,Newton Abbot,"71,714","51,641",72.0%,"51,772",72.2%,"51,945",72.4%,0,25,0,106,0,131,"14,193",75,0,"14,268",40,"12,535",21,3,32,0,0,52,"1,625","14,268","12,533",2,173,"12,362",175,518,26,64,1,1,0,92,70,11,0,2,53,"2,067",8, ,19/05/17,25/05/17,6,22:00:00,12:30:00,00:30:00,01:05:00,No,0,0,0
E14000836,426,"Normanton, Pontefract and Castleford","81,641","49,191",60.3%,"49,274",60.4%,"49,476",60.6%,0,21,3,59,0,83,"13,199",76,0,"13,275",72,"11,308",11,0,4,0,0,28,"1,924","13,275","11,233",7,115,"11,106",203,253,5,78,6,1,0,43,66,6,12,69,56,633, , ,15/05/17,26/05/17,47,22:00:00,02:15:00,01:50:00,04:57:00,No,0,0,0
N06000012,14,North Antrim,"75,657","48,468",64.1%,"48,580",64.2%,"48,621",64.3%,0,50,0,62,0,112,"1,163",0,0,"1,163",0,"1,048",9,0,0,0,0,0,106,"1,163",,,,"1,007",41,507,,,,,,,,,,,94,,,101, , ,0,22:20:00,00:25:00,23:25:00,02:30:00, ,0,0,0
S14000048,25,North Ayrshire and Arran,"73,176","47,433",64.8%,"47,515",64.9%,"47,781",65.3%,0,12,1,69,0,82,"13,953",64,0,"14,017",94,"11,823",26,2,62,0,0,31,"2,073","14,017","11,790",88,134,"11,557",250,394,15,166,23,20,45,49,74,11,11,28,99,816,10,1,19/05/17,23/05/17, ,22:00:00,01:38:00,00:15:00,02:17:00,No ,0,0,0
E14000837,162,North Cornwall,"68,844","50,944",74.0%,"51,047",74.1%,"51,128",74.3%,0,16,2,85,0,103,"13,437",64,0,"13,501",106,"11,762",16,4,40,20,2,47,"1,610","13,501","11,762",35,46,"11,681",81,531,27,113,11,19,5,5,34,7,4,11,86,498,8,110,22/05/17,23/05/17,18,22:00:00,04:45:00,04:45:00,09:20:00,No,0,0,0
E14000838,190,North Devon,"75,801","55,705",73.5%,"55,771",73.6%,"55,936",73.8%,0,11,1,54,0,66,"13,206",1,0,"13,207",0,"11,609",33,1,0,0,0,15,"1,549","13,207","11,609",8,155,"11,444",163,552,97,102,5,3,0,8,66,1,16,64,99,647,9, ,18/05/17,19/05/17,19,22:01:00,00:50:00,01:10:00,03:15:00,No,0,0,0
E14000839,198,North Dorset,"76,324","55,724",73.0%,"55,891",73.2%,"56,091",73.5%,0,27,2,138,0,167,"12,346",14,81,"12,366",112,"11,045",47,5,0,11,0,58,"1,400","12,366","11,045",45,117,"10,845",162,642,16,71,8,8,20,63,48,6,3,6,88,576,5,43,15/05/17,22/05/17,13,22:10:00,01:15:00,01:30:00,03:00:00,No,0,0,0
N06000013,202,North Down,"64,334","39,185",60.9%,"39,268",61.0%,"39,285",61.1%,0,55,0,28,0,83,"1,034",0,0,"1,034",0,951,7,0,0,0,0,2,74,"1,034",,,,934,17,193,,,,,,,,,,,71,,,63, , ,0,22:14:00,23:50:00,22:30:00,01:00:00, ,0,0,0
E14000840,215,North Durham,"66,970","43,284",64.6%,"43,372",64.8%,"43,618",65.1%,0,23,0,65,0,88,"16,433",57,0,"16,490",21,"13,972",18,36,0,0,0,16,"2,448","16,490","13,972",134,86,"13,726",246,181,3,61,25,23,86,2,39,45,0,0,74,"1,049",11,88,18/05/17,22/05/17,26,22:00:00,01:00:00,01:00:00,02:15:00,No,0,0,0
E14000841,43,North East Bedfordshire,"87,505","64,220",73.4%,"64,354",73.5%,"64,495",73.7%,0,45,0,89,0,134,"16,589",42,0,"16,631",0,"14,308",41,1,41,0,0,85,"2,155","16,631","14,261",11,77,"14,167",226,497,26,135,4,4,3,30,34,13,6,38,94,450,13, ,15/05/17,18/05/17,17,22:00:00,01:09:00,01:30:00,04:55:00,No,0,0,0
E14000842,120,North East Cambridgeshire,"84,414","53,284",63.1%,"53,365",63.2%,"53,375",63.2%,0,21,0,60,0,81,"12,378",19,0,"12,378",13,"11,913",38,3,16,0,0,60,348,"12,378","11,913",2,179,"11,903",179,250,8,53,7,2,18,43,65,27,14,2,69,617,27,39,22/05/17,22/05/17,26,22:00:00,01:00:00,00:30:00,03:30:00,No,0,0,0
E14000843,185,North East Derbyshire,"72,082","50,380",69.9%,"50,458",70.0%,"50,685",70.3%,0,10,0,68,0,78,"13,003",53,0,"13,056",22,"11,542",25,1,30,0,0,21,"1,437","13,056","11,542",106,55,"11,315",103,440,14,73,13,19,21,3,37,15,8,4,71,637,18,8,15/05/17,23/05/17,36,22:00:00,00:30:00,00:45:00,04:45:00,No,0,0,0
S14000049,250,North East Fife,"58,685","41,822",71.3%,"41,848",71.3%,"42,046",71.6%,0,1,0,25,0,26,"12,607",27,0,"12,634",8,"10,731",42,5,14,0,0,44,"1,798","12,634","10,709",49,123,"10,533",189,532,9,84,9,4,36,39,71,13,4,18,72,841,24,3,22/05/17,24/05/17,37,22:00:00,01:51:00,01:00:00,06:30:00,No,3,0,0
E14000844,288,North East Hampshire,"75,476","57,627",76.4%,"57,748",76.5%,"57,970",76.8%,0,21,2,98,0,121,"13,742",69,0,"13,811",27,"12,223",65,10,32,0,0,47,"1,434","13,811","12,223",82,122,"12,001",222,548,23,54,9,39,34,60,49,13,0,13,65,838,47,13,19/05/17,22/05/17,6,22:05:00,00:25:00,00:00:00,01:45:00,No,0,0,0
E14000845,309,North East Hertfordshire,"75,965","55,596",73.2%,"55,764",73.4%,"56,072",73.8%,0,23,6,139,0,168,"13,804",31,0,"13,835",7,"11,986",52,2,22,0,0,32,"1,849","13,835","11,986",62,183,"11,678",148,344,73,72,30,2,30,88,79,16,34,3,113,"1,021",13, ,19/05/17,22/05/17,41,22:15:00,23:25:00,23:45:00,02:25:00,No,0,0,0
E14000846,518,North East Somerset,"71,355","54,043",75.7%,"54,147",75.9%,"54,355",76.2%,1,22,2,79,0,104,"14,526",61,0,"14,587",0,"12,800",55,3,58,0,0,16,"1,656","14,587","12,788",104,85,"12,592",208,580,21,52,42,4,58,30,45,10,7,12,67,592,14, ,13/05/17,15/05/17,28,22:15:00,01:00:00,01:30:00,04:30:00,No,0,0,0
E14000847,307,North Herefordshire,"67,751","50,293",74.2%,"50,409",74.4%,"50,744",74.9%,24,23,3,66,0,116,"11,131",43,10,"11,184",41,"9,973",43,4,39,0,0,40,"1,085","11,184","9,973",37,168,"9,638",335,548,26,27,11,25,1,102,60,6,10,120,98,855,29,7,17/05/17,23/05/17,20,22:00:00,01:30:00,01:40:00,04:15:00,No,0,0,0
E14000848,422,North Norfolk,"69,271","52,192",75.3%,"52,283",75.5%,"52,452",75.7%,0,10,3,78,0,91,"11,985",113,0,"12,098",68,"10,595",42,3,42,68,0,70,"1,278","12,098","10,586",44,116,"10,426",169,549,12,112,28,2,14,20,72,24,6,3,104,218,12,9,17/05/17,19/05/17,16,22:10:00,01:30:00,01:45:00,03:30:00,No,0,0,0
E14000849,511,North Shropshire,"80,535","55,599",69.0%,"55,745",69.2%,"55,884",69.4%,0,21,1,124,0,146,"12,219",24,0,"12,243",112,"10,540",35,3,20,0,0,35,"1,610","12,243","10,540",6,133,"10,401",139,366,17,63,12,3,14,15,75,14,1,5,89,691,17,9,15/05/17,18/05/17,8,22:00:00,01:00:00,01:15:00,04:25:00,No,0,0,0
E14000850,517,North Somerset,"80,529","61,998",77.0%,"62,118",77.1%,"62,419",77.5%,0,19,2,99,0,120,"14,832",53,0,"14,885",29,"13,090",5,5,19,24,0,54,"1,742","14,939","13,090",1,271,"12,789",301,634,24,49,1,0,0,70,72,129,54,31,64,918,0, ,19/05/17,24/05/17,40,22:00:00,01:40:00,01:40:00,04:02:00,No,0,0,0
E14000851,560,North Swindon,"80,168","54,911",68.5%,"55,015",68.6%,"55,389",69.1%,0,20,2,82,0,104,"15,926",86,0,"16,012",22,"13,362",29,17,47,0,0,61,"2,496","16,012","13,362",92,151,"12,988",264,112,24,77,31,0,61,32,106,13,9,12,52,896,25,91,15/05/17,19/05/17,81,22:00:00,23:01:00,23:01:00,23:05:00,No,0,0,0
E14000852,567,North Thanet,"72,651","48,325",66.5%,"48,407",66.6%,"48,569",66.9%,0,30,0,52,0,82,"9,727",68,0,"9,795",16,"8,150",27,0,0,52,0,36,"1,530","9,795","8,150",31,131,"7,988",162,237,31,134,12,1,18,63,52,16,8,12,46,"8,150",10,2,17/05/17,22/05/17,32,22:00:00,00:45:00,01:00:00,04:40:00,No,0,0,0
E14000853,583,North Tyneside,"78,914","51,892",65.8%,"51,984",65.9%,"52,418",66.4%,0,42,0,50,0,92,"20,158",50,0,"20,208",165,"17,517",16,19,29,11,0,20,"2,596","20,208","17,517",133,168,"17,083",330,318,9,109,2,1,130,6,85,31,13,16,59,"1,250",9, ,18/05/17,22/05/17,57,22:00:00,23:46:00,23:46:00,01:55:00,No,0,0,0
E14000854,602,North Warwickshire,"72,277","48,178",66.7%,"48,315",66.8%,"48,413",67.0%,4,38,1,94,0,137,"8,767",31,0,"8,798",13,"7,567",20,0,18,0,0,16,"1,177","8,798","7,567",43,55,"7,469",98,194,7,61,12,28,3,11,35,9,31,22,70,507,8,12,22/05/17,22/05/17,174,22:00:00,00:20:00,00:30:00,01:30:00,No,0,0,0
E14000855,121,North West Cambridgeshire,"93,221","63,991",68.6%,"64,123",68.8%,"64,438",69.1%,0,34,2,96,0,132,"14,008",29,0,"14,037",19,"11,941",38,1,9,0,0,22,"2,026","14,037","11,941",57,196,"11,626",315,222,3,68,13,11,33,100,83,13,0,0,102,"1,004",18, ,19/05/17,22/05/17,141,22:00:00,01:10:00,01:10:00,02:33:00,No,0,0,0
E14000856,216,North West Durham,"71,981","47,902",66.5%,"47,973",66.6%,"48,194",67.0%,0,26,0,45,0,71,"16,260",66,0,"16,326",28,"14,080",19,38,0,0,0,17,"2,172","16,326","14,080",125,72,"13,859",221,275,6,84,16,28,81,2,37,33,0,0,88,"1,061",11,93,18/05/17,22/05/17,24,22:00:00,01:20:00,01:20:00,02:40:00,No,0,0,0
E14000857,289,North West Hampshire,"81,430","58,772",72.2%,"58,880",72.3%,"59,106",72.6%,0,11,3,94,0,108,"15,290",71,0,"15,361",20,"13,332",58,6,45,0,0,49,"1,871","15,361","13,332",88,121,"13,106",226,282,13,116,5,69,14,46,63,12,0,4,79,"5,033",23,7,16/05/17,18/05/17,23,22:00:00,00:15:00,23:45:00,03:20:00,No,0,0,0
E14000858,359,North West Leicestershire,"75,362","53,555",71.1%,"53,708",71.3%,"53,892",71.5%,0,28,1,124,0,153,"12,119",40,0,"12,159",7,"10,628",26,0,33,0,0,8,"1,464","12,159","10,628",3,126,"10,444",184,408,95,118,0,2,1,79,36,11,4,51,65,773,15,2,16/05/17,18/05/17,31,22:00:00,23:55:00,00:00:00,01:50:00,No,0,0,0
E14000859,423,North West Norfolk,"72,062","48,811",67.7%,"48,891",67.8%,"48,970",68.0%,0,18,0,62,0,80,"12,474",26,0,"12,500",15,"10,759",18,1,10,0,0,5,"1,707","12,500","10,759",6,73,"10,680",79,345,20,79,3,2,3,11,33,10,5,12,64,641,25,4,17/05/17,24/05/17,42,22:15:00,01:00:00,01:15:00,03:00:00,No,0,0,0
E14000860,619,North Wiltshire,"71,410","53,656",75.1%,"53,747",75.3%,"53,927",75.5%,0,14,1,76,0,91,"15,462",78,0,"15,540",68,"13,297",57,6,4,0,0,87,"2,089","15,540","13,297",59,81,"13,117",0,587,15,106,13,33,13,1,57,23,42,7,78,"1,234",39,0,20/05/17,25/05/17,81,22:00:00,02:00:00,01:50:00,03:09:00,No,0,0,0
E14000861,427,Northampton North,"58,861","40,378",68.6%,"40,441",68.7%,"40,672",69.1%,0,12,0,51,0,63,"12,518",88,0,"12,606",57,"10,465",33,0,30,0,0,24,"2,054","12,606","10,465",41,169,"10,234",231,215,8,80,7,32,2,50,95,24,0,9,41,642,2,8,19/05/17,25/05/17,59,22:00:00,01:03:00,01:03:00,04:20:00,No,1,0,0
E14000862,428,Northampton South,"61,766","41,039",66.4%,"41,110",66.6%,"41,358",67.0%,0,9,3,59,0,71,"12,833",85,0,"12,918",44,"10,622",46,0,41,0,0,20,"2,189","12,918","10,622",42,188,"10,374",248,229,13,57,8,67,14,62,59,20,12,16,43,660,1,11,19/05/17,25/05/17,73,22:00:00,01:03:00,01:03:00,04:20:00,No,0,0,0
E14000863,430,Norwich North,"66,924","45,895",68.6%,"45,977",68.7%,"46,077",68.8%,0,10,0,72,0,82,"14,710",6,0,"14,716",38,"12,290",44,13,61,2,0,40,"2,266","14,716","12,288",32,44,"12,190",100,371,9,198,7,15,10,11,29,1,22,2,38,851,45,7,19/05/17,20/05/17,43,22:05:00,00:00:00,00:20:00,02:30:00,No,0,0,0
E14000864,431,Norwich South,"74,182","51,359",69.2%,"51,501",69.4%,"51,741",69.7%,0,13,0,129,0,142,"15,945",0,0,"15,945",49,"13,377",132,23,37,0,0,0,"2,376","13,377","13,377",106,145,"13,137",237,601,20,54,15,120,0,10,51,38,14,14,64,202,87,15,18/05/17,23/05/17,43,22:00:00,01:00:00,01:15:00,03:30:00,No,0,0,0
E14000865,432,Nottingham East,"61,760","39,327",63.7%,"39,441",63.9%,"39,899",64.6%,0,37,1,76,0,114,"10,405",32,12,"10,449",18,"8,852",57,2,18,12,0,47,"1,461","10,449","8,852",43,234,"8,394",277,311,27,46,2,25,16,126,48,16,26,8,42,869,2, ,15/05/17,24/05/17,88,22:00:00,00:30:00,00:30:00,02:40:00,No,0,0,0
E14000866,433,Nottingham North,"66,885","38,319",57.3%,"38,390",57.4%,"38,768",58.0%,0,13,2,56,0,71,"13,054",26,14,"13,094",12,"11,045",23,0,12,14,0,51,"1,949","13,094","11,045",51,187,"10,667",238,99,7,50,9,28,14,66,49,20,20,7,40,729,1, ,15/05/17,24/05/17,86,22:00:00,00:35:00,00:23:00,02:50:00,No,0,0,0
E14000867,434,Nottingham South,"71,182","48,089",67.6%,"48,226",67.8%,"48,558",68.2%,0,31,4,102,0,137,"12,524",68,15,"12,607",31,"10,827",62,5,32,15,0,58,"1,608","12,607","10,827",42,188,"10,495",220,324,12,53,6,29,7,63,75,14,16,9,47,876,0, ,15/05/17,24/05/17,46,22:00:00,01:00:00,01:00:00,02:30:00,No,0,0,0
E14000868,435,Nuneaton,"69,050","46,067",66.7%,"46,138",66.8%,"46,320",67.1%,0,18,0,53,0,71,"8,184",45,0,"8,229",9,"7,213",5,11,25,0,0,9,966,"8,229","7,213",88,53,"7,031",182,275,12,62,10,37,41,31,19,3,15,26,59,486,0, ,18/05/17,22/05/17,22,22:00:00,23:30:00,23:30:00,00:30:00,No,0,0,0
S14000050,436,Ochil and South Perthshire,"76,769","54,168",70.6%,"54,245",70.7%,"54,437",70.9%,0,9,1,67,0,77,"14,425",44,0,"14,469",0,"12,395",51,16,28,0,0,51,"1,928","14,469","12,375",52,106,"12,203",158,618,22,171,14,1,37,16,72,18,17,14,86,906,34,6,19/05/17,23/05/17,26,22:00:00,00:55:00,00:25:00,02:20:00,No,0,0,0
W07000074,437,Ogmore 5,"57,125","37,276",65.3%,"37,348",65.4%,"37,408",65.5%,0,15,0,57,0,72,"10,040",17,0,"10,057",5,"8,364",31,0,17,0,0,11,"1,634","10,057","8,364",10,50,"8,304",66,121,5,63,2,3,5,11,34,5,1,5,48,545,8,7,15/05/17,23/05/17,33,22:10:00,23:55:00,00:10:00,02:00:00,No,0,0,1
E14000869,438,Old Bexley and Sidcup,"66,005","48,042",72.8%,"48,141",72.9%,"48,278",73.1%,0,20,0,79,0,99,"11,184",87,0,"11,271",25,"9,602",22,0,17,0,0,28,"1,739","11,408","9,602",90,70,"9,465",189,95,7,223,33,31,26,30,30,10,13,16,47,958,19,3,17/05/17,19/05/17,22,22:00:00,01:02:00,01:03:00,04:00:00,No,0,0,0
E14000870,439,Oldham East and Saddleworth,"72,180","47,037",65.2%,"47,141",65.3%,"47,389",65.7%,0,15,0,89,0,104,"11,626",67,0,"11,693",36,"9,768",23,1,30,0,0,23,"1,793","11,638","9,768",18,214,"9,520",0,330,12,27,9,0,9,69,114,31,0,0,53,"1,291",14,1,17/05/17,26/05/17,203,22:00:00,00:00:00,00:01:00,02:03:00,No,0,0,0
E14000871,440,Oldham West and Royton,"72,400","45,788",63.2%,"45,887",63.4%,"46,144",63.7%,1,41,1,56,0,99,"11,342",30,0,"11,372",9,"9,393",41,0,21,0,0,23,"1,884","11,362","9,393",14,225,"9,136",257,170,5,50,9,0,5,59,144,22,0,0,58,"1,524",13,3,17/05/17,26/05/17,192,22:00:00,23:05:00,00:00:00,03:00:00,No,0,0,0
S14000051,441,Orkney and Shetland,"34,164","23,277",68.1%,"23,320",68.3%,"23,408",68.5%,0,9,0,34,0,43,"7,398",38,14,"7,450",25,"6,272",6,0,17,5,0,20,"1,122","7,450","6,272",57,31,"6,184",88,369,15,85,23,7,12,8,21,2,3,11,50,511,4,25,22/05/17,23/05/17,58,22:00:00,23:00:00,23:00:00,04:30:00,No,0,0,0
E14000872,442,Orpington,"67,903","50,461",74.3%,"50,565",74.5%,"50,899",75.0%,3,14,0,87,0,104,"12,015",70,0,"12,085",32,"10,547",50,0,38,0,0,25,"1,425","12,085","10,380",72,69,"10,213",167,517,14,29,36,21,15,26,34,9,22,4,59,"1,491",30,19,17/05/17,24/05/17,56,22:00:00,00:30:00,00:35:00,03:30:00,No,0,0,0
E14000873,443,Oxford East,"78,353","53,896",68.8%,"54,002",68.9%,"54,401",69.4%,0,36,0,70,0,106,"8,846",92,0,"8,938",33,"7,515",79,0,59,0,0,52,"1,233","8,938","7,515",55,198,"7,116",253,819,14,55,0,0,55,47,27,120,5,0,71,248,38,33,18/05/17,23/05/17,23,22:25:00,23:40:00,23:30:00,01:50:00,No,0,28,3
E14000874,444,Oxford West and Abingdon,"75,574","60,020",79.4%,"60,134",79.6%,"60,050",79.5%,0,17,2,95,0,114,"12,403",26,0,"12,429",24,"10,670",0,1,1,84,0,0,"1,673","12,429","10,670",16,72,"10,754",88,431,0,67,4,4,8,14,43,15,0,0,70,250, , ,19/05/17,30/05/17, ,22:00:00,01:30:00,01:35:00,04:30:00,No,1,0,0
S14000052,445,Paisley and Renfrewshire North,"66,823","46,615",69.8%,"46,666",69.8%,"47,025",70.4%,0,12,0,39,0,51,"13,921",25,0,"13,946",31,"11,659",21,8,17,0,0,70,"2,171","13,946","11,659",7,13,"11,300",359,278,10,133,2,4,1,7,3,3,137,202,81,947,6, ,22/05/17,22/05/17,50,22:00:00,00:15:00,00:15:00,01:50:00,No,0,0,0
S14000053,446,Paisley and Renfrewshire South,"60,893","41,712",68.5%,"41,771",68.6%,"42,139",69.2%,0,21,0,38,0,59,"13,524",17,0,"13,541",32,"11,283",19,4,13,0,0,95,"2,127","13,541","11,283",6,7,"10,915",368,241,5,211,1,4,1,2,3,2,128,227,79,972,3, ,22/05/17,22/05/17,67,22:00:00,00:05:00,23:50:00,01:10:00,No,0,0,0
E14000875,447,Pendle,"64,962","44,854",69.0%,"44,936",69.2%,"45,154",69.5%,0,18,8,56,0,82,"12,631",45,0,"12,676",73,"10,602",33,1,44,0,0,17,"1,979","12,676","10,602",79,176,"10,384",274,396,3,86,29,30,20,76,72,28,12,7,60,"1,344",8, ,17/05/17,24/05/17,126,22:30:00,00:40:00,00:30:00,02:15:00,No,0,0,0
E14000876,448,Penistone and Stocksbridge,"71,293","49,796",69.8%,"49,919",70.0%,"50,097",70.3%,0,19,1,103,0,123,"16,631",41,0,"16,672",0,"14,258",33,0,41,0,0,57,"2,283","16,672","14,217",92,45,"14,080",178,197,15,16,36,0,56,30,2,13,14,27,45, ,10, ,15/05/17,23/05/17, ,22:00:00,02:05:00,02:15:00,03:30:00,No,0,0,0
E14000877,449,Penrith and The Border,"65,139","46,470",71.3%,"46,548",71.5%,"46,701",71.7%,0,11,1,66,0,78,"11,501",14,0,"11,515",40,"9,956",35,3,11,0,0,34,"1,476","11,515","9,956",25,128,"9,803",153,329,9,23,9,2,14,68,58,2,4,10,132,"9,956",35,10,15/05/17,23/05/17,22,22:00:00,01:15:00,01:45:00,03:50:00,No,0,0,0
S14000054,450,Perth and North Perthshire,"71,762","51,539",71.8%,"51,640",72.0%,"51,862",72.3%,0,22,1,78,0,101,"16,182",23,0,"16,205",96,"13,902",40,2,21,0,0,55,"2,185","16,205","13,902",70,137,"13,680",252,572,17,164,21,2,47,46,76,14,15,45,85,953,17,16,19/05/17,24/05/17,31,22:00:00,00:00:00,00:30:00,03:00:00,No,2,0,0
E14000878,451,Peterborough,"71,522","47,739",66.7%,"47,884",67.0%,"48,263",67.5%,0,42,4,99,0,145,"14,297",61,0,"14,358",38,"11,930",67,2,21,0,0,32,"2,306","14,358","11,930",75,254,"11,551",379,281,0,77,14,16,45,139,98,17,0,0,49,"1,485",30, ,19/05/17,23/05/17,379,22:00:00,00:47:00,00:47:00,02:17:00,No,0,0,0
E14000879,452,"Plymouth, Moor View","69,342","45,417",65.5%,"45,487",65.6%,"45,851",66.1%,0,21,0,49,0,70,"14,584",402,0,"14,986",32,"12,116",33,5,397,0,0,17,"2,418","14,986","12,116",0,364,"11,752",364,360,6,22,57,22,53,83,57,10,16,36,45,"1,016",8, ,19/05/17,23/05/17,60,22:00:00,02:00:00,02:05:00,05:00:00,No,0,0,0
E14000880,453,"Plymouth, Sutton and Devonport","76,584","51,208",66.9%,"51,291",67.0%,"51,682",67.5%,2,23,0,58,0,83,"14,301",750,0,"15,051",45,"11,696",54,0,750,0,0,17,"2,534","15,051","11,696",0,391,"11,305",0,574,22,44,24,44,49,63,63,11,12,61,47,"1,330",25, ,19/05/17,23/05/17,75,22:00:00,02:00:00,02:05:00,17:00:00,No,0,0,0
W07000075,454,Pontypridd 5,"60,564","39,894",65.9%,"40,000",66.0%,"40,262",66.5%,0,23,1,82,0,106,"11,396",42,0,"11,438",118,"9,611",27,2,38,2,0,11,"1,747","11,438","9,611",93,45,"9,349",262,263,4,129,28,44,21,4,34,7,38,86,55,"1,025",9,19,17/05/17,23/05/17,36,22:00:00,23:45:00,00:15:00,02:00:00,No,0,0,0
E14000881,455,Poole,"73,796","49,850",67.6%,"49,976",67.7%,"50,438",68.3%,2,14,1,109,0,126,"12,096",60,0,"12,156",28,"10,611",36,2,30,0,0,43,"1,434","12,156","10,611",32,190,"10,149",222,482,13,115,12,5,15,144,36,10,10,18,46,547,11,6,15/05/17,24/05/17,34,22:05:00,00:45:00,00:45:00,04:00:00,No,0,0,0
E14000882,456,Poplar and Limehouse,"87,331","58,828",67.4%,"59,105",67.7%,"59,861",68.5%,0,173,1,103,0,277,"16,317",137,0,"16,454",46,"12,794",124,0,91,0,0,68,"3,377","16,454","12,794",98,658,"12,038",756,365,22,32,9,79,10,564,65,29,0,0,51,"3,161", , ,19/05/17,23/05/17,140,22:00:00,01:45:00,01:00:00,04:15:00,No,0, , 
E14000883,457,Portsmouth North,"71,374","47,210",66.1%,"47,287",66.3%,"47,419",66.4%,0,11,0,66,0,77,"9,863",36,0,"9,899",21,"8,758",26,4,10,0,0,20,"1,081","9,899","8,758",9,34,"8,626",101,369,8,22,4,3,2,1,32,1,18,40,43,589,8, ,18/05/17,23/05/17,22,22:00:00,00:55:00,00:55:00,03:07:00,No,0,0,0
E14000884,458,Portsmouth South,"69,785","44,566",63.9%,"44,660",64.0%,"44,876",64.3%,0,36,6,52,0,94,"9,375",86,0,"9,461",41,"8,391",60,8,37,0,1,24,940,"9,461","8,391",6,35,"8,175",97,483,26,26,3,0,3,13,22,0,30,26,39,620,17, ,18/05/17,23/05/17,42,22:00:00,00:45:00,00:45:00,03:15:00,No,0,0,0
W07000065,459,Preseli Pembrokeshire,"58,555","42,200",72.1%,"42,259",72.2%,"42,469",72.5%,0,13,0,46,0,59,"12,323",73,0,"12,396",42,"10,267",48,0,31,7,0,48,"1,995","12,396","10,267",69,103,"10,057",197,489,16,157,32,31,6,19,65,19,10,15,76,933,47,6,15/05/17,15/05/17,18,22:00:00,01:20:00,01:21:00,05:10:00,No,0,0,0
